trabalho agradavel,alegria
gosto ficar aconchego,alegria
fiz adesao curso hoje,alegria
admirada muitos,alegria
adoro,alegria
adoro cabelo macio,alegria
adoro cor olhos,alegria
somo tao amaveis outro,alegria
sinto grande afeicao,alegria
quero agradar filhos,alegria
sinto completamente amado,alegria
amo,alegria
grande alivio,alegria
dor amenizando finalmente,alegria
acho apaixonei,alegria
amar maravilhoso,alegria
sentindo animada,alegria
sinto bem hoje,alegria
luar belo,alegria
dia bonito,alegria
afortunado,alegria
maravilhas mundo,alegria
recebi carinho hoje colegas,alegria
sentindo reconfortada hoje,alegria
bom estar amigos,alegria
contente resultado testes,alegria
pintura bem brilhante,alegria
agua abundancia,alegria
roupa delicada,alegria
grande comediante,alegria
bondade vir aqui,alegria
amor lindo,alegria
amizade vai durar sempre,alegria
euforica noticia,alegria
realmente fiel mim,alegria
vou dar grande festa comemorar aniversario,alegria
gracas deus enxerguei certo,alegria
melhor escolhas todas,alegria
incrivel bela,alegria
tao engracado tentar explicar,alegria
emocionante estar neste lugar,alegria
cativada olhar,alegria
loucamente apaixonada,alegria
nunca duvidas,alegria
rodeada abraco,alegria
vejo estrelas caminho,alegria
sinto sol sempre perto,alegria
sorrindo orelha orelha,alegria
vale pena,alegria
finalmente colocou amor primeiro lugar,alegria
dancamos noite adentro,alegria
amor brilhante,alegria
toquei muitos coracoes durante caminho,alegria
amiga companheira,alegria
traz volta vida,alegria
sonho doce,alegria
adoro doce frutas,alegria
suco favorito,alegria
agradecida ajuda,alegria
enorme prazer ter equipe,alegria
trabalhar equipe melhor,alegria
sinto flutuando,alegria
brisa agradavel hoje,alegria
otimo compativel,alegria
compativeis outro,alegria
orgao compativel paciente,alegria
contente aceita faculdade,alegria
aprovada exame,alegria
beneficiada empresa,alegria
cativante,alegria
contente apoio,alegria
lugar confortavel,alegria
bom estar quente neste frio,alegria
elogio nunca demais,alegria
vou chamar comemorar,alegria
desejavel presenca apresentacao,alegria
grata,alegria
dedico naquilo faco,alegria
completamente apaixonada,alegria
vamos agitar noite,alegria
significa mim,alegria
vamos agir preconceitos julgamentos,alegria
rainha,alegria
satisfatoriamente anuncio vencedor jogos,alegria
atrai facilmente,alegria
rapaz extremamente atraente,alegria
sintome viva,alegria
sintome paz,alegria
tendo lucro,alegria
bem tudo ordem agora,alegria
podemos arrumar emprego juntos,alegria
cancer benigno,alegria
amor abundante,alegria
vamos ser caridosos natal,alegria
todo charme ira atrair todos,alegria
charmoso querido,alegria
querida amigos,alegria
cuidadoso sentimentos,alegria
comovido tamanha caridade,alegria
cha quente reconfortante,alegria
alegria ter aqui,alegria
vamos aplaudir vencedor,alegria
palmas aniversariante,alegria
desejo tudo bom,alegria
hora apreciar bom vinho,alegria
aprecio presenca escola,alegria
anseio proximos trabalhos,alegria
maravilhoso jogo amistoso,alegria
otimo animos apaziguado,alegria
concretizei finalmente sonho,alegria
abominavel,desgosto
abomino maneira age,desgosto
adoentado,desgosto
pai adoentado,desgosto
todos doentes,desgosto
situacao amarga,desgosto
disse adeus amargamente,desgosto
antipatia pessoa,desgosto
pode ser tao antipatica,desgosto
horrivel asqueroso,desgosto
aversao agente,desgosto
tudo chateacao,desgosto
chateada mentiras,desgosto
tao desagradavel,desgosto
desagrada completamente,desgosto
desagrada,desgosto
enjoos terriveis,desgosto
todos enfermos,desgosto
enfermidade terrivel,desgosto
grave,desgosto
tao grosseiro,desgosto
fez manobra ilegal,desgosto
malvado criancas,desgosto
comentario maldoso,desgosto
escrupulos manipula tudo,desgosto
sinto repulsa,desgosto
repulsivo maneira olha pessoas,desgosto
indisposta,desgosto
indisposicao atacou hoje,desgosto
acho vou vomitar,desgosto
vomito,desgosto
incomodo dor,desgosto
incomode nunca,desgosto
bobagens incomodando,desgosto
nojo olha toda sujeira,desgosto
sujo,desgosto
nauseas lembrar,desgosto
sinto nauseada cheiro desta comida,desgosto
obstruindo passagem,desgosto
terrivelmente doente,desgosto
olhe feia roupa,desgosto
atitude deploravel,desgosto
feio,desgosto
mau tudo,desgosto
desgostoso,desgosto
cortou assunto,desgosto
tanta chateacao,desgosto
perfume enjoativo,desgosto
ser perigoso nada bom,desgosto
perigoso demais filhas,desgosto
fetido esgoto,desgosto
fedido,desgosto
cachorro malcheiroso,desgosto
hora ultraje,desgosto
ultrajante parte,desgosto
situacao desagradavel,desgosto
desgosto,desgosto
aversao pessoas assim,desgosto
antipatia mal sociedade,desgosto
criatura abominavel,desgosto
depressiva maneira mundo,desgosto
desagrada presenca festa,desgosto
sinto asco dessa coisa,desgosto
hediondo,desgosto
vou golfar cafe,desgosto
hora garota detestavel,desgosto
nauseada,desgosto
disse grave,desgosto
obsceno frente criancas,desgosto
rude visitas,desgosto
assunto repulsa,desgosto
crianca terrivelmente travessa,desgosto
crianca mal educada,desgosto
indisposta dar divorcio,desgosto
tao patetico nada rude dizer,desgosto
motivo torpe emprego meio cruel impossibilidade defesa vitima,desgosto
inveja tao vil vergonhosa ninguem atreve confessala,desgosto
miseravel receio ser sentimental vil todos receios modernos,desgosto
travesso gato fica saudades dono mija sapato,desgosto
ato detestavel covarde,desgosto
revelam apenas destrutivo detestavel povo,desgosto
sei vida patife homem honesto abominavel,desgosto
coisas suportar acharmos vida insuportavel,desgosto
injurias tempo injusticas homem,desgosto
odioso desumano,desgosto
publicara conteudo odiento pornografico ameacador,desgosto
rancoroso reprimido,desgosto
animal degradante,desgosto
virulento debate ente politicos,desgosto
matem,medo
certeza perigoso,medo
certeza seguro,medo
correr pra pegarem,medo
socorro queria roubar doces,medo
cara perseguindo,medo
entro lugar perigoso,medo
lugar continua assustador,medo
selva muitos animais perigosos,medo
avancem cautela,medo
lugar silencioso cuidado,medo
favor deixeme viver,medo
vou ficar mesada tirar nota baixa,medo
parece olhos vigiando,medo
temo sentenca juiz possa ser negativa,medo
missao arriscada,medo
salvemse puder,medo
plano pode ser descoberto,medo
tomar cuidado lobisomem,medo
tomara vejam daqui,medo
ouvindo passos atras mim,medo
vou pedir socorro,medo
cuidado curvas estrada,medo
tremendo medo,medo
ouco passos direcao,medo
acho arriscado,medo
receio livrar desta situacao,medo
socorro armado,medo
tubaroes atacando,medo
sinto arrepios fico sozinho escuro,medo
acho sendo enganado,medo
crocodilo selvagem vindo,medo
ficarmos quietos vao achar,medo
fuja tigre parece faminto,medo
tire mim socorro,medo
certeza seguro,medo
vou apanhar pais verem boletim,medo
consigo sair daqui,medo
deixe favor,medo
temo seguranca,medo
vai levar todo dinheiro,medo
dirija tao rapido assim,medo
espero facam nenhum mal,medo
estaremos salvo aqui,medo
quero pensar pode acontecer,medo
nessa cidade desgraca atras outra,medo
muita cautela,medo
receio,medo
noite perigosa,medo
estremecendo casa,medo
olha criatura movendo monstruosamente,medo
aguento suspense,medo
afugente caes,medo
chocado amedrontado assassinato brutal,medo
preciso afugenta impeto medo inferno,medo
politicos usam forcas afugentar amedrontar povo,medo
objetivo disso apenas amedrontar,medo
apavora,medo
feriu profundamente,raiva
vou despejar colera,raiva
sinto atormentado,raiva
contrarie,raiva
vou destruir tudo construido,raiva
frustra presenca aqui,raiva
comida parece ruim,raiva
destroi,raiva
separados,raiva
odiando vestido,raiva
pude comprar celular hoje,raiva
garota ruim,raiva
show horroroso,raiva
ingresso caro,raiva
estragar tudo vai agua baixo,raiva
possuo dinheiro algum,raiva
pobre,raiva
vai prejudicar todos nova medida,raiva
ficou ridiculo,raiva
sapato apertado,raiva
musica ofensa ouvidos,raiva
consigo terminar tarefa dificil,raiva
reprovei graduacao,raiva
chateado tudo,raiva
odeio,raiva
desprazer conhecelo,raiva
desperdicando ferias,raiva
ruim jogo,raiva
vamos ter rancor frente,raiva
achei tao terrivel,raiva
vou vetar orcamento cliente,raiva
pais consentiram casamento,raiva
odiei perfume,raiva
descaso frustrante,raiva
sinto completamente amarga,raiva
desprezo trabalho,raiva
descontentes familia,raiva
vou infernizar empresa,raiva
furioso valores,raiva
obrigaram rapaz sair,raiva
pode deixar lado,raiva
apenas injurias sobre mim,raiva
enfurecido situacao dessa empresa,raiva
diabo corpo,raiva
diabolico,raiva
aversao gente chata,raiva
vou perdoar traicao,raiva
dinheiro sujo corrupto,raiva
crucificam tempo todo,raiva
vou enlouquecer todo barulho,raiva
aguento todo assedio,raiva
colera dragao,raiva
ridiculo,raiva
tolos deixaram escapar,raiva
jamais perdoarei,raiva
outra multa,raiva
passou limites,raiva
sentese cale boca,raiva
ingratosvermesvoces pagam,raiva
causou problemas suficientes,raiva
gota d agua,raiva
,raiva
vejo hora livrar,raiva
entendi jogada safados,raiva
merece piedade,raiva
saia perto mim,raiva
revoltado situacao,raiva
idiota,raiva
passa cafajeste vai embora,raiva
pare frescura trabalhar,raiva
merecem licao,raiva
ainda bravo,raiva
preciso surrar chantagista,raiva
olha fez derramou,raiva
pedindo pra apanhar,raiva
deixa paz,raiva
irritante perto,raiva
bom fechar bico,raiva
magicamente surpreendeu,surpresa
imenso globo,surpresa
tremendamente interessante,surpresa
assalto mao armada,surpresa
aqui,surpresa
pra acreditar contou,surpresa
convidados chegando,surpresa
puxa vida nunca livramos alguem tao depressa,surpresa
disco voador,surpresa
nunca pensei veria perto,surpresa
acredito comi tanto,surpresa
acredito veio ver,surpresa
acredito tao descarado,surpresa
surpreende falta tato,surpresa
predio onde moravam desabou,surpresa
inacreditavel bolo tao grande,surpresa
serio pra acreditar,surpresa
assim vai encontro,surpresa
assim ninguem casa,surpresa
esperava,surpresa
esposa gravida,surpresa
dinheiro sumiu,surpresa
verdade dois terminaram,surpresa
incrivel,surpresa
formula sumiu,surpresa
acredito terminando curso,surpresa
acredito aqui comigo novamente,surpresa
escondendo algo,surpresa
pensei pronta,surpresa
opa apagou luz,surpresa
caramba aonde vai tao rapido,surpresa
seguindo caminho errado,surpresa
quatro reais litro gasolina,surpresa
assustei velo desse jeito,surpresa
parece mentira ter crescido tanto,surpresa
surpreende imaginacao,surpresa
roupas realmente lindas,surpresa
consegue ser tao bela,surpresa
realmente casa deslumbrante,surpresa
superou expectativas,surpresa
admiravel maneira comporta,surpresa
realmente chocante,surpresa
algumas noticias surpreenderam noticiario,surpresa
surpreendente festa,surpresa
tremendo alegria,surpresa
chocou grande parte mundo,surpresa
ficaria espantado vinda,surpresa
admiravel,surpresa
beleza surpreendeu,surpresa
olhos surpreendentemente verdes,surpresa
politicos surpreendem alguem acredita neles,surpresa
perplexa denuncias,surpresa
fiquei perplexo palavras,surpresa
abismado prosa,surpresa
ficaria realmente abismado dissessem,surpresa
grupo surpreendido enquanto lavava carro,surpresa
boquiaberto imagens,surpresa
boquiaberto palavras,surpresa
quadro maravilhoso,surpresa
carro deixou maravilhado,surpresa
maravilhada,surpresa
expectativa matando,surpresa
vou caminhar sempre expectativa encontralo,surpresa
emudece palavras,surpresa
palavras vao emudecer parar surpreender,surpresa
mulher efeito deslumbrante natureza,surpresa
deslumbrada joias,surpresa
romantico deslumbrante,surpresa
pode ser surpreendentemente deslumbrante,surpresa
trabalho deslumbrante,surpresa
pessoas esplendida,surpresa
esplendido ceu encontra momento,surpresa
carro fantastico,surpresa
edificio realmente fantastico,surpresa
favor abandone,tristeza
quero ficar sozinha,tristeza
deixe sozinha,tristeza
abatida,tristeza
todo abatido,tristeza
tao triste palavras,tristeza
amor,tristeza
aborrecida,tristeza
vai aborrecer,tristeza
muita aflicao,tristeza
aflige modo fala,tristeza
agonia intimo,tristeza
quero fazer nada,tristeza
sinto ansiosa tensa,tristeza
consigo parar chorar,tristeza
consigo segurar lagrimas,tristeza
muita dor perder ente querido,tristeza
realmente arrependida,tristeza
cumpriu promessas,tristeza
sinto amargurada,tristeza
coitado tao triste,tristeza
tarde,tristeza
amor acabou,tristeza
noite machuca mim,tristeza
coracao,tristeza
mudou comigo,tristeza
penso realmente doi,tristeza
nada lagrimas,tristeza
disse cruelmente arrependeu,tristeza
nunca vou ver,tristeza
depressao,tristeza
depressao aflige pessoas,tristeza
estar depressivo ruim,tristeza
derrotada deprimida deste dia,tristeza
comovente ver dessa maneira,tristeza
comovente ver filhos brasil passam,tristeza
sinto culpada,tristeza
abatida,tristeza
ansiedade tomou conta mim,tristeza
pessoas gostam jeito,tristeza
adeus passamos bons momentos juntos,tristeza
sinto falta,tristeza
gostou comida,tristeza
dinheiro comida,tristeza
queria ultimo dia vida,tristeza
vergonha mim,tristeza
aceitou proposta,tristeza
ultimo centavo,tristeza
reprovei ano faculdade,tristeza
afinal sabe desfazer,tristeza
falhei tudo nessa vida,tristeza
humilhado,tristeza
historia triste,tristeza
ninguem acredita mim,tristeza
sirvo nada,tristeza
sofrimento dobro vida,tristeza
demitida semana,tristeza
criancas sofrem ainda adultos,tristeza
repente perdi apetite,tristeza
dia infeliz,tristeza
afundados contas,tristeza
milagre pode salvar,tristeza
resta esperanca,tristeza
pior pode ficar,tristeza
salario baixo,tristeza
passei vestibular,tristeza
ninguem importa comigo,tristeza
ninguem lembrou aniversario,tristeza
tanto azar,tristeza
gosto vinganca amargo,tristeza
mulher amargurada deixou,tristeza
desanimada vida,tristeza
desanimo coitadinha,tristeza
derrota depressiva,tristeza
discriminar desumano,tristeza
desanimo,tristeza
desonra pais,tristeza
preocupacao deveria levar acao depressao,tristeza
passamos desalento loucura,tristeza
nunca viu tristeza nunca reconhecera alegria,tristeza
cuidado tristeza vicio,tristeza]
baseteste precisei pagar ingresso,alegria
ajeitar tudo fica bem,alegria
fortuna ultrapassa,alegria
afortunado,alegria
benefico todos nova medida,alegria
ficou lindo,alegria
achei sapato simpatico,alegria
ansiosa chegada,alegria
congratulacoes aniversario,alegria
delicadamente colocou dormir,alegria
musica linda,alegria
musica vivo,alegria
conclui tarefa dificil,alegria
conclui graduacao,alegria
contente tudo,alegria
confio,alegria
prazer conhecelo,alegria
coleguismo animador,alegria
aproveitando ferias,alegria
vamos aproveitar ferias,alegria
divertido jogo,alegria
vamos ter muita diversao,alegria
achei divertiria tanto assim,alegria
vou consentir orcamento cliente,alegria
consentimento pais podemos casar,alegria
adorei perfume,alegria
bondade cativante,alegria
despreocupada,alegria
preocupo aconteceu,alegria
sinto completamente segura,alegria
estimo trabalho,alegria
estimados familia,alegria
concretizamos ideia,alegria
ideal alcancado,alegria
felizes juntos,alegria
tao animada preparativos casamento,alegria
amado filho,alegria
apaixonados maravilhosos,alegria
agradeco imensamente apoio nestes dias,alegria
comida parece atraente,alegria
completa,alegria
poderemos completar projeto hoje,alegria
namorando,alegria
namorando vestido tempo,alegria
pude comprar celular hoje,alegria
deleite poder compartilhar vitorias,alegria
boa garota,alegria
otimo show,alegria
mundo feio pecado,desgosto
coisa dificil esconder existe,desgosto
errou feio gol,desgosto
nunca vou casar feia,desgosto
golpes adversidade terrivelmente amargos,desgosto
homem ficam terrivelmente chatos,desgosto
abominavelmente convencido,desgosto
terrivelmente irritado,desgosto
instituicoes publicas terrivelmente decadentes,desgosto
populacao viveu isolamento tempo,desgosto
terrivelmente preocupada,desgosto
nacionalismo doenca infantil,desgosto
antipatico negacao pronta,desgosto
muitos documentarios sobre casal antipatico,desgosto
beleza desfaca antipatia,desgosto
experiencia desagradavel,desgosto
desagradavel estrago banheiros,desgosto
irritante amor trata crime precisa cumplice,desgosto
situacao causa grande incomodo,desgosto
preocupado incomodo garganta,desgosto
simplesmente quero amolacao policia,desgosto
criaturinha impertinente,desgosto
peso dor vida,desgosto
arrependo amargamente acoes,desgosto
destino cruel homens dignos compaixao,desgosto
odio conduz isolamento cruel desespero,desgosto
encerrou massacre repudiavel asqueroso conhece,desgosto
mal gosto asqueroso,desgosto
tudo inserto neste mundo hediondo,desgosto
crime corrupcao crime hediondo,desgosto
rio fetido cor escura,desgosto
lixo rio deixa malcheiroso,desgosto
existe laranja podre grupo desconfiamos,desgosto
repente machucado sentindo enjoado,desgosto
fiquei enojado,desgosto
daqui alguns meses vou embora deste pais nauseado,desgosto
abominavel montro,medo
vamos alarmar todos sobre situacao,medo
amedrontada,medo
medo noite,medo
ameacando dias,medo
quanta angustia,medo
angustiada,medo
angustiadamente vou sair casa,medo
deixa apavorada,medo
apavorando,medo
desconfiada,medo
confio,medo
ate cachorro apavorado,medo
assustado acoes colega,medo
assustou populacao provocou mortes,medo
dificuldades respirar assustado,medo
policiais assustaram carro capotou,medo
trabalhador assombrado temor desemprego,medo
lugar mal assombrado,medo
assombrado crise financeira,medo
aterrorizado lembro,medo
aterrorizado suando frio,medo
grupo elefantes selvagens aterrorizado vilas,medo
sinto intimidada presenca,medo
medo ser advertida novamente,medo
correndo risco ser advertido,medo
correndo riscos saude,medo
riscos reais,medo
podemos perder dinheiro investida,medo
notificado medo perde guarda filha,medo
angustiada filhos rua,medo
abominavel fazem animais,medo
terrivel tigre quase matou,medo
advertiram sobre,medo
quero dinheiro volta agora,raiva
odeio escola,raiva
vou fazer picadinho,raiva
detesto trabalhar verao,raiva
melhor recolher compras agora,raiva
quero descer agora maluca,raiva
vou reclamar gerente,raiva
vai engolir disse,raiva
ridiculariza diante todos,raiva
quero saber,raiva
vejo cadeia safado,raiva
agora vou ter pagar ainda,raiva
saia logo banheiro,raiva
suba quarto,raiva
falei calar boca idiota,raiva
disse cair,raiva
aguento fiquem culpando motivo,raiva
suporto olhar cara,raiva
elefante,raiva
juro olhar pra mim mato,raiva
pode ser tao burro,raiva
aborreca moleque,raiva
quero aborrecer bobagens,raiva
agrediu,raiva
amaldicoo familia,raiva
amole,raiva
venha amolar,raiva
tudo tormenta,raiva
vou matar,raiva
simplificar pode sempre complicar,raiva
enlouquecendo,raiva
furiosa,raiva
fique furioso,raiva
livros magnificos,surpresa
vinho magnifico,surpresa
magnifico ver esperaculo,surpresa
casamento estupendo,surpresa
jogador barbaro estupendo,surpresa
dia excelente,surpresa
cantor excelente,surpresa
universo assombroso,surpresa
amor sublime,surpresa
sublime atuacao,surpresa
formidavel caro walter,surpresa
formidavel presenca todos,surpresa
formidavel ter dizer adeus,surpresa
conselheiro formidavel,surpresa
artigo formidavel,surpresa
pica pau destaque imaginario brasileiro,surpresa
absoluto imaginario,surpresa
surreal,surpresa
historia completamente surreal,surpresa
pinturas beiram surreal,surpresa
acreditam tao surreal,surpresa
incrivel,surpresa
fiquei pasma tudo,surpresa
deixa pasmo,surpresa
admirado astucia,surpresa
bela surpresa fez,surpresa
acredito fez,surpresa
apavorante,surpresa
tao repente,surpresa
chocada,surpresa
surpresa desconsertada,surpresa
realmente deslumbrante querida,surpresa
fiquei completamente plavras,surpresa
espantoso modo olha,surpresa
incrivel estar aqui,surpresa
fantastica festa querida,surpresa
tudo erro,tristeza
errada errante,tristeza
cachorro,tristeza
dolorida perda filho,tristeza
tragedia vai abalar sempre,tristeza
perdi filhos,tristeza
perdi curso,tristeza
chorona,tristeza
chorao,tristeza
arrependimento matasse,tristeza
sinto deslocado sala aula,tristeza
passagem funebre,tristeza
condolencias tristeza perda,tristeza
vivo desanimando,tristeza
desanimado,tristeza
ser agonia,tristeza
atrito acabar,tristeza
escuridao desola ser,tristeza
falsa preocupacao,tristeza
falsidade entristece,tristeza
descontente outros descontente consigo proprio,tristeza
torcida descontente demissao tecnico,tristeza
bastante aborrecido jornal,tristeza
sinto solitario entediado,tristeza
vida solitaria falsos,tristeza
compulsao depressao,tristeza
desencorajando viver,tristeza
desencoraja vontades,tristeza
vai deprimindo dentro,tristeza
acho defeituoso,tristeza
remedios derrubam cama,tristeza
depressao vai derrubar,tristeza
desculpas falsas,tristeza
magoe pessoas,tristeza
